,postalcode,neighbourhood
0,T1Y,"Horizon,Monterey Park,Pineridge,Rundle,Sunridge,Temple,Whitehorn"
1,T2A,"Abbeydale,Albert Park/Radisson Heights,Applewood Park,Forest Heights,Forest Lawn,Franklin,Marlborough,Marlborough Park,Penbrooke Meadows,Red Carpet"
2,T2B,"Dover,Erin Woods,South Foothills,Southview,Valleyfield"
3,T2C,"Quarry Park,Riverbend,Shepard Industrial,Starfield"
4,T2E,"Bridgeland/Riverside,Calgary International Airport,Mayland Heights,North Airways,Pegasus,Renfrew,South Airways,Vista Heights,Winston Heights/Mountview"
5,T2G,"Alyth/Bonnybrook,Downtown East Village,Golden Triangle,Inglewood,Manchester,Ogden,Ramsay"
6,T2H,"Burns Industrial,East Fairview Industrial,Fairview,Foothills"
7,T2J,"Acadia,Bonavista Downs,Deer Ridge,Deer Run,Diamond Cove,Lake Bonavista,Maple Ridge,Parkland,Queensland,Willow Park"
8,T2K,"Cambrian Heights,Greenview,Highland Park,Highwood,Huntington Hills,Rosemont,Thorncliffe"
9,T2L,"Brentwood,Charleswood,Collingwood"
10,T2M,"Banff Trail,Capitol Hill,Crescent Heights,Mount Pleasant,Rosedale,Tuxedo Park"
11,T2N,"Hillhurst,Hounsfield Heights/Briar Hill,Parkdale,St. Andrews Heights,Sunnyside,University Heights,University Of Calgary,West Hillhurst"
12,T2P,"Chinatown,Downtown Commercial Core,Downtown West End,Eau Claire,Northeast Calgary"
13,T2S,"Britannia,Cliff Bungalow,Erlton,Mission,Parkhill,Rideau Park,Roxboro,Upper Mount Royal"
14,T2T,"Altadore,Bankview,Beltline,Elbow Park,Marda Loop,Mount Royal Lower,Richmond"
15,T2V,"Bayview,Bel-Aire,Chinook Park,Eagle Ridge,Elboya,Haysboro,Kelvin Grove,Kingsland,Mayfair,Meadowlark Park,Oakridge,Palliser,Pump Hill,Windsor Park"
16,T2W,"Braeside,Canyon Meadows,Cedarbrae,Southwood,Woodbine,Woodlands"
17,T2X,"Chaparral,Legacy,Midnapore,Silverado,Sundance,Walden"
18,T2Y,"Bridlewood,Evergreen,Evergreen Estates,Millrise,Shawnee Slopes,Shawnessy,Somerset"
19,T2Z,"Copperfield,Douglasdale/Glen,Mckenzie Lake,Mckenzie Towne,New Brighton"
20,T3A,"Dalhousie,Edgemont,Hamptons,Hidden Valley,Varsity"
21,T3B,"Bowness,Greenwood/Greenbriar,Montgomery,Point Mckay,Silver Springs,Valley Ridge"
22,T3C,"Rosscarrock,Scarboro,Shaganappi,Spruce Cliff,Sunalta,Westgate,Wildwood"
23,T3E,"Currie Barracks,Glamorgan,Glenbrook,Glendale,Killarney/Glengarry,Lakeview,Lincoln Park PMQ,North Glenmore Park,Rutland Park"
24,T3G,"Arbour Lake,Citadel,Hawkwood,Ranchlands,Rocky Ridge,Royal Oak"
25,T3H,"Aspen Woods,Christie Park,Coach Hill,Cougar Ridge,Discovery Ridge,Patterson Heights,Signal Hill,Springbank Hill,Strathcona Park,West Springs"
26,T3J,"Castleridge,Coral Springs,Falconridge,Martindale,Saddle Ridge,Taradale"
27,T3K,"Beddington Heights,Carrington,Country Hills,Coventry Hills,Harvest Hills,Macewan,North Haven,Panorama Hills,Sandstone Valley"
28,T3L,"Scenic Acres,Tuscany"
29,T3M,"Auburn Bay,Cranston,Seton"
30,T3N,"Cityscape,Redstone,Saddle Ridge Industrial,Skyview Ranch,Northwest Calgary"
31,T3R,"Evanston,Kincora,Livingston,Nolan Hill,Sage Hill,Sherwood,Southeast Calgary"
32,T3S,"East Shepard Industrial,Mahogany,Southwest Calgary,Crestmont"
